"Month","PI_All_Upper_East_Side","YoY","MoM"
2015-08-01,963724.778711226,0.0448146949495298,0.00514516299996615
2015-09-01,968262.813871036,0.0463727087905486,0.00470884972562291
2015-10-01,971965.047440097,0.0474826333722984,0.00382358334537303
2015-11-01,974719.076606302,0.0476857481695327,0.00283346522949413
2015-12-01,976130.224312189,0.0465865455026029,0.00144774811507697
2016-01-01,976648.209836593,0.0442850065310691,0.000530652070290349
2016-02-01,976724.095454276,0.0411470466799893,7.77000530169936e-05
2016-03-01,976773.957167694,0.0378888876915353,5.10499471140236e-05
2016-04-01,976834.58454522,0.0337638136628888,6.20689946544406e-05
2016-05-01,976833.621097143,0.0291578201725571,-9.86296034843903e-07
