"Month","PI_All_Upper_West_Side","YoY","MoM"
2010-03-01,803781.07168398,-0.066060367430097,-0.00055006493424048
2010-04-01,803947.865655195,-0.0569316478078743,0.000207511693284257
2010-05-01,804686.904786788,-0.0475001846598608,0.000919262508384477
2010-06-01,805944.013394436,-0.037438288779347,0.00156223321166271
2010-07-01,807537.325816032,-0.0276953361279481,0.00197695174244905
2010-08-01,809480.216775864,-0.0179006907423195,0.00240594570395603
2010-09-01,811633.310176714,-0.00865115620974544,0.00265984684520881
2010-10-01,813835.0999955,-0.000417570848592397,0.00271278888037108
2010-11-01,816168.210775932,0.00718203384935934,0.0028668102179974
2010-12-01,818432.333657801,0.0135272690034853,0.00277408854201289
2011-01-01,820754.700981287,0.019007123366791,0.00283758012480706
2011-02-01,823042.850804709,0.0234007154083848,0.00278786075874526
2011-03-01,825070.859765404,0.0264870483163029,0.00246403812233109
2011-04-01,827286.937348374,0.0290305785862846,0.00268592395033895
2011-05-01,829424.386635297,0.0307417477547538,0.0025836855272654
2011-06-01,831658.777251932,0.0319063898113618,0.00269390513787471
2011-07-01,833879.955792464,0.0326209441152607,0.0026707810959099
2011-08-01,836272.320767166,0.0330979107778751,0.00286895608664461
2011-09-01,838803.51324886,0.0334759585781788,0.00302675625969728
2011-10-01,841421.97784596,0.0338973802562856,0.00312166622545273
2011-11-01,844330.974839215,0.0345060781484106,0.00345723913784868
2011-12-01,847368.022099343,0.0353550162323386,0.00359698666829855
2012-01-01,850759.226793167,0.0365572390581579,0.00400204469059706
2012-02-01,854420.878394259,0.0381244154649676,0.00430398106276653
2012-03-01,858098.794198363,0.0400304216808127,0.00430457154911346
2012-04-01,862299.025875971,0.0423215778552217,0.00489481130378677
2012-05-01,866624.473293168,0.0448504857793961,0.00501618033582041
2012-06-01,871357.718646452,0.0477346508933607,0.00546170284725345
2012-07-01,876180.588360135,0.0507274845423897,0.00553489067747548
2012-08-01,881397.958212301,0.053960458004563,0.0059546740951324
2012-09-01,886830.31530969,0.057256319629388,0.00616334204858715
2012-10-01,892269.337026172,0.060430272228426,0.00613310305543902
2012-11-01,898052.530553443,0.0636261813377845,0.00648144376063176
2012-12-01,903777.027576666,0.066569665135074,0.00637434540682746
2013-01-01,909790.417407876,0.0693864829855795,0.00665362102346623
2013-02-01,915862.950912379,0.0719107808245398,0.00667465098368991
2013-03-01,921363.369258357,0.0737264467538319,0.00600572207937633
2013-04-01,927429.816108006,0.0755315595606418,0.00658420667899162
2013-05-01,933231.854878418,0.0768584128857375,0.00625604080183795
2013-06-01,939107.790700099,0.0777523060894989,0.00629633010378305
2013-07-01,944636.817682143,0.0781302738629841,0.005887531800713
2013-08-01,950145.15689121,0.0779979100681665,0.00583117141525613
2013-09-01,955404.986136945,0.0773255826322408,0.00553581650928536
2013-10-01,960231.212037049,0.0761674442802058,0.00505149750119838
2013-11-01,964927.669970901,0.0744668459162909,0.00489096571219494
2013-12-01,969201.965446719,0.0723905740838302,0.00442965375419924
2014-01-01,973357.178798053,0.0698696756680375,0.00428725229567517
2014-02-01,977273.537161402,0.0670521568623836,0.00402355728057069
2014-03-01,980656.476620417,0.0643536625618057,0.00346160960097386
2014-04-01,984301.132513875,0.0613214233768464,0.00371654700738699
2014-05-01,987817.882855039,0.0584913895633492,0.00357283988100465
2014-06-01,991542.801078978,0.0558349221443359,0.00377085522401455
2014-07-01,995335.10992706,0.0536696128034848,0.00382465471380056
2014-08-01,999561.342061859,0.0520090902029489,0.00424603944204227
2014-09-01,1004207.24758588,0.0510801829141159,0.00464794438171867
2014-10-01,1009163.65972038,0.0509590263989927,0.00493564664706181
2014-11-01,1014813.00343883,0.0516985210605805,0.00559804513770601
2014-12-01,1020825.23216543,0.0532636834830564,0.00592446953894643
2015-01-01,1027571.2104998,0.0556979831069739,0.00660835774999402
2015-02-01,1034788.76263341,0.0588527400824401,0.00702389485016752
2015-03-01,1041578.662417,0.0621238805320812,0.00656162883553901
2015-04-01,1049225.2157386,0.065959573833781,0.00734131141267724
2015-05-01,1056556.50526079,0.0695863312446652,0.00698733638138327
2015-06-01,1063726.21861614,0.0727990939560188,0.00678592514422816
2015-07-01,1069948.67478211,0.074963260223498,0.00584967828851712
2015-08-01,1075422.30580489,0.0758942553606039,0.00511578840349403
2015-09-01,1079735.70786054,0.0752120246654544,0.00401089137947319
2015-10-01,1082729.9004816,0.0728982262218998,0.00277307918897551
2015-11-01,1084974.17770714,0.0691370469540273,0.00207279509371672
2015-12-01,1086703.8660677,0.0645346841226959,0.00159422076221305
2016-01-01,1088072.67919959,0.0588781274539212,0.00125960086701138
2016-02-01,1088961.47727223,0.0523514717157878,0.000816855426692964
2016-03-01,1089341.20648313,0.0458559163983863,0.000348707662145342
2016-04-01,1089393.50020685,0.0382837582110331,4.80049073796618e-05
2016-05-01,1089259.69494566,0.0309526177937811,-0.000122825463126808
